"Urine" "Fish" "Water" "Rose"
"1" 2.20545303426649 3.19662771544852 3.11275267537396 3.42874183515108
"2" 1.2650303490016 1.96665766187174 3.97031527570917 4.78875276973998
"3" 2.47581094642091 2.05476416369939 2.54002532472454 2.55022041732048
"4" 1.17829297993694 2.61315557978836 3.83792916759301 5.61954132897885
"5" 2.33338872641568 1.8957387933673 2.64698505701518 3.46052608433126
"6" 2.27763876286259 1.9824581263404 2.85436163598978 3.87136915157162
"7" 2.37838529506892 2.47236764355567 2.90799045197134 3.09268038896688
"8" 1.97320744639254 2.02359667763728 3.36993282812271 3.99443210483978
"9" 1.91444989636068 2.15194518841287 3.23703975268245 3.82400108688966
"10" 2.17427586842326 2.13317223700873 2.94278054786589 3.48329259563025
"11" 2.95050434668827 2.17927320011631 2.55736317963834 2.979950072046
"12" 2.04611281812453 1.95974420616608 2.95168690288171 3.28952453795567
"13" 2.40471055457604 2.01100942243873 2.70922812899184 3.35021330089474
"14" 3.03063951674949 2.02971309277053 2.03349438446196 2.00909968016732
"15" 1.50221895120151 1.84388078132789 3.77772524538374 4.61269364272619
"16" 2.36588635228797 1.9744195971097 2.92003478298492 3.41802189061626
"17" 2.17346718332682 1.83742208954092 2.82619401104135 3.44017517350246
"18" 2.0872111729082 2.52580007342416 2.95378789930462 2.76845712891932
"19" 2.59301007335212 2.06591805926644 2.31271862615819 2.48515820419881
"20" 1.26518646846204 2.6807289856542 3.83900712006128 5.23897062417244
"21" 1.45920157127493 2.2930973892362 3.58117289023659 4.23884829519536
"22" 1.08695142233665 1.91217063562564 3.98867320847689 5.71925386992456
"23" 1.93717782760119 2.5864356333111 3.15324302887566 3.68904821708257
"24" 1.72925653179707 2.21086683628432 3.21516129262681 4.08852843577822
"25" 2.45549225928036 2.24705605609054 2.78214300880141 2.75950484224622
"26" 2.04309282287316 1.95865285803999 2.90396295735932 3.28648926085103
"27" 2.39721079577313 2.53999818221553 2.83344944533682 2.93689903675355
"28" 0.998884732931906 1.9432684817505 4.04931989673266 5.8560704600258
"29" 1.76235251854067 2.00936265430758 3.24880000839947 4.35810222669251
"30" 1.8097816294218 2.11316140771488 3.34160391783778 4.069066281269
"31" 1.37547998079493 2.58439973197085 3.76467084334835 5.2050653628046
"32" 1.18909238749559 2.12523760341086 3.88123848951872 5.303211116989
"33" 1.7216077716924 1.80299181821731 3.52372427566532 4.69195387084073
"34" 1.11324476463238 1.97639034608561 3.90060908789483 5.47144229894537
"35" 1.50314591671296 1.97647911904198 3.64828644185883 5.12838072802274
"36" 1.66461486949536 2.02496373059457 3.36744680871797 4.18118560376263
"37" 2.09702142232735 2.60667353255769 2.99440068573233 3.67225203056073
"38" 1.64151003219154 2.330400688599 3.50074071462393 4.49887604363563
